Ni,Ti,Al,FCC
16.0,6.0,4.0,0.0
17.0,6.0,4.0,0.0
18.0,6.0,4.0,0.0
19.0,6.0,4.0,0.0
20.0,6.0,4.0,0.0
15.0,7.0,4.0,0.0
16.0,7.0,4.0,0.0
17.0,7.0,4.0,0.0
18.0,7.0,4.0,0.0
19.0,7.0,4.0,0.0
20.0,7.0,4.0,0.0
15.0,8.0,4.0,0.0
16.0,8.0,4.0,0.0
17.0,8.0,4.0,0.0
18.0,8.0,4.0,0.0
19.0,8.0,4.0,0.0
20.0,8.0,4.0,0.0
15.0,9.0,4.0,0.0
16.0,9.0,4.0,0.0
17.0,9.0,4.0,0.0
18.0,9.0,4.0,0.0
19.0,9.0,4.0,0.0
20.0,9.0,4.0,0.0
15.0,10.0,4.0,0.0
16.0,10.0,4.0,0.0
17.0,10.0,4.0,0.0
18.0,10.0,4.0,0.0
19.0,10.0,4.0,0.0
20.0,10.0,4.0,0.0
15.0,11.0,4.0,0.0
16.0,11.0,4.0,0.0
17.0,11.0,4.0,0.0
18.0,11.0,4.0,0.0
19.0,11.0,4.0,0.0
20.0,11.0,4.0,0.0
15.0,12.0,4.0,0.0
16.0,12.0,4.0,0.0
17.0,12.0,4.0,0.0
18.0,12.0,4.0,0.0
19.0,12.0,4.0,0.0
20.0,12.0,4.0,0.0
15.0,13.0,4.0,0.0
16.0,13.0,4.0,0.0
17.0,13.0,4.0,0.0
18.0,13.0,4.0,0.0
19.0,13.0,4.0,0.0
20.0,13.0,4.0,0.0
15.0,14.0,4.0,0.0
16.0,14.0,4.0,0.0
17.0,14.0,4.0,0.0
18.0,14.0,4.0,0.0
19.0,14.0,4.0,0.0
20.0,14.0,4.0,0.0
15.0,15.0,4.0,0.0
16.0,15.0,4.0,0.0
17.0,15.0,4.0,0.0
18.0,15.0,4.0,0.0
19.0,15.0,4.0,0.0
20.0,15.0,4.0,0.0
15.0,1.0,5.0,13.622128946672197
16.0,1.0,5.0,14.828346102270276
17.0,1.0,5.0,16.041669009939223
18.0,1.0,5.0,3.949678558111559
19.0,1.0,5.0,8.677631776093016
20.0,1.0,5.0,13.405518333604775
15.0,2.0,5.0,9.292356381459262
16.0,2.0,5.0,10.492177124405229
17.0,2.0,5.0,11.68711685239253
18.0,2.0,5.0,12.879827190475208
19.0,2.0,5.0,14.072535866498589
20.0,2.0,5.0,15.268105914867608
15.0,3.0,5.0,4.890063452803801
16.0,3.0,5.0,6.138971149902353
17.0,3.0,5.0,7.370366957466936
18.0,3.0,5.0,8.587078498562962
19.0,3.0,5.0,9.792162211926152
20.0,3.0,5.0,10.987853247397124
15.0,4.0,5.0,0.11061192786121238
16.0,4.0,5.0,1.4883184526613726
17.0,4.0,5.0,2.827786253790661
18.0,4.0,5.0,4.134386384388739
19.0,4.0,5.0,5.4130598419269855
20.0,4.0,5.0,6.667795239304423
15.0,5.0,5.0,0.0
16.0,5.0,5.0,0.0
17.0,5.0,5.0,0.0
18.0,5.0,5.0,0.0
19.0,5.0,5.0,0.5942965922798552
20.0,5.0,5.0,2.0016804696272072
15.0,6.0,5.0,0.0
16.0,6.0,5.0,0.0
17.0,6.0,5.0,0.0
18.0,6.0,5.0,0.0
19.0,6.0,5.0,0.0
20.0,6.0,5.0,0.0
15.0,7.0,5.0,0.0
16.0,7.0,5.0,0.0
17.0,7.0,5.0,0.0
18.0,7.0,5.0,0.0
19.0,7.0,5.0,0.0
20.0,7.0,5.0,0.0
15.0,8.0,5.0,0.0
16.0,8.0,5.0,0.0
17.0,8.0,5.0,0.0
18.0,8.0,5.0,0.0
19.0,8.0,5.0,0.0
20.0,8.0,5.0,0.0
15.0,9.0,5.0,0.0
16.0,9.0,5.0,0.0
17.0,9.0,5.0,0.0
18.0,9.0,5.0,0.0
19.0,9.0,5.0,0.0
20.0,9.0,5.0,0.0
15.0,10.0,5.0,0.0
16.0,10.0,5.0,0.0
17.0,10.0,5.0,0.0
18.0,10.0,5.0,0.0
19.0,10.0,5.0,0.0
20.0,10.0,5.0,0.0
15.0,11.0,5.0,0.0
16.0,11.0,5.0,0.0
17.0,11.0,5.0,0.0
18.0,11.0,5.0,0.0
19.0,11.0,5.0,0.0
20.0,11.0,5.0,0.0
15.0,12.0,5.0,0.0
16.0,12.0,5.0,0.0
17.0,12.0,5.0,0.0
18.0,12.0,5.0,0.0
19.0,12.0,5.0,0.0
20.0,12.0,5.0,0.19470772887967816
15.0,13.0,5.0,1.1535365394286239
16.0,13.0,5.0,1.4419528268169663
17.0,13.0,5.0,1.7303776043159147
18.0,13.0,5.0,2.0187284225963156
19.0,13.0,5.0,2.3071608256001714
20.0,13.0,5.0,2.5957128576116237
15.0,14.0,5.0,3.554397992990789
16.0,14.0,5.0,3.842796598813949
17.0,14.0,5.0,4.131309517203904
18.0,14.0,5.0,4.4197521419828645
19.0,14.0,5.0,4.708124568691133
20.0,14.0,5.0,4.996608420670482
15.0,15.0,5.0,5.955408759432099
16.0,15.0,5.0,6.2437451351050814
17.0,15.0,5.0,6.532203974474446
18.0,15.0,5.0,6.820580500203997
19.0,15.0,5.0,7.10909184898421
20.0,15.0,5.0,7.397519807096107
15.0,1.0,6.0,14.100306503678231
16.0,1.0,6.0,15.28010397799183
17.0,1.0,6.0,16.453680171803214
18.0,1.0,6.0,17.62296323217639
19.0,1.0,6.0,18.79004030045598
20.0,1.0,6.0,19.957524306271313
15.0,2.0,6.0,9.865112437943178
