Ni,Ti,Al,Ni3Ti
15.0,2.0,2.0,9.354549562023582
16.0,2.0,2.0,9.354656022318169
17.0,2.0,2.0,9.35456334146932
18.0,2.0,2.0,9.35465267531787
19.0,2.0,2.0,9.35456008437361
20.0,2.0,2.0,9.354632332360351
15.0,3.0,2.0,14.031956670900305
16.0,3.0,2.0,14.03205095467048
17.0,3.0,2.0,14.03193725581709
18.0,3.0,2.0,14.032005889491849
19.0,3.0,2.0,14.031892320161738
20.0,3.0,2.0,14.031935364657008
15.0,4.0,2.0,18.709627891163922
16.0,4.0,2.0,18.709875438013146
17.0,4.0,2.0,18.710122749800043
18.0,4.0,2.0,18.70854460299556
19.0,4.0,2.0,18.708758179950706
20.0,4.0,2.0,18.7089715536105
15.0,5.0,2.0,18.778560548362528
16.0,5.0,2.0,20.13845300814139
17.0,5.0,2.0,21.498886096509036
18.0,5.0,2.0,22.859859045494847
19.0,5.0,2.0,23.386234684647643
20.0,5.0,2.0,23.386087798284947
15.0,6.0,2.0,18.45335132885035
16.0,6.0,2.0,19.81381248178541
17.0,6.0,2.0,21.17298754023637
18.0,6.0,2.0,22.534540693469086
19.0,6.0,2.0,23.894764200500042
20.0,6.0,2.0,25.25552813416439
15.0,7.0,2.0,18.126832171274494
16.0,7.0,2.0,19.488041887815708
17.0,7.0,2.0,20.847745944130757
18.0,7.0,2.0,22.208038033191002
19.0,7.0,2.0,23.568838387727194
20.0,7.0,2.0,24.928352060748654
15.0,8.0,2.0,17.79970343332953
16.0,8.0,2.0,19.15922995305354
17.0,8.0,2.0,20.521369610728087
18.0,8.0,2.0,21.880350673495933
19.0,8.0,2.0,23.241721617169897
20.0,8.0,2.0,24.601763089646667
15.0,9.0,2.0,17.471599023356525
16.0,9.0,2.0,18.831122186797217
17.0,9.0,2.0,20.19194126516283
18.0,9.0,2.0,21.55331837929645
19.0,9.0,2.0,22.913413487977724
20.0,9.0,2.0,24.274022163557348
15.0,10.0,2.0,17.14215050230805
16.0,10.0,2.0,18.50184667948212
17.0,10.0,2.0,19.863214514234507
18.0,10.0,2.0,21.223302688715066
19.0,10.0,2.0,22.58391363619616
20.0,10.0,2.0,23.945127284445057
15.0,11.0,2.0,16.811356821450623
16.0,11.0,2.0,18.171957574189733
17.0,11.0,2.0,19.53331338630378
18.0,11.0,2.0,20.893907758880097
19.0,11.0,2.0,22.25326279701002
20.0,11.0,2.0,23.614989358131165
15.0,12.0,2.0,16.478846638126416
16.0,12.0,2.0,17.83923643692776
17.0,12.0,2.0,19.20038774460654
18.0,12.0,2.0,20.559672790745832
19.0,12.0,2.0,21.921378010238975
20.0,12.0,2.0,23.281805351323793
15.0,13.0,2.0,16.143905279791092
16.0,13.0,2.0,17.50426368085422
17.0,13.0,2.0,18.864428480636214
18.0,13.0,2.0,20.226096683742448
19.0,13.0,2.0,21.586489423342137
20.0,13.0,2.0,22.947458793750414
15.0,14.0,2.0,15.805938070637888
16.0,14.0,2.0,17.166411363319874
17.0,14.0,2.0,18.526945618808295
18.0,14.0,2.0,19.887660041775028
19.0,14.0,2.0,21.24854681077112
20.0,14.0,2.0,22.608199294640492
15.0,15.0,2.0,15.46437788044156
16.0,15.0,2.0,16.824619870860236
17.0,15.0,2.0,18.185079643023773
18.0,15.0,2.0,19.54612849164087
19.0,15.0,2.0,20.905722748925186
20.0,15.0,2.0,22.265865008900775
15.0,1.0,3.0,4.677267271627789
16.0,1.0,3.0,4.677263491293629
17.0,1.0,3.0,4.677259714527582
18.0,1.0,3.0,4.677255941324601
19.0,1.0,3.0,4.677243590919598
20.0,1.0,3.0,4.677231252200446
15.0,2.0,3.0,9.354593438234682
16.0,2.0,3.0,9.354603051342115
17.0,2.0,3.0,9.354612655396744
18.0,2.0,3.0,9.354622250411348
19.0,2.0,3.0,9.354614646767192
20.0,2.0,3.0,9.354607050301308
15.0,3.0,3.0,14.031927036561012
16.0,3.0,3.0,14.031967324911438
17.0,3.0,3.0,14.031981724728727
18.0,3.0,3.0,14.032021949490392
19.0,3.0,3.0,14.032036310026669
20.0,3.0,3.0,14.03205065703663
15.0,4.0,3.0,18.70807352463134
