Ni,Ti,Al,T_Ni3Ti
15.0,4.0,3.0,860.15
16.0,4.0,3.0,752.15
17.0,4.0,3.0,810.15
18.0,4.0,3.0,842.15
19.0,4.0,3.0,845.55
20.0,4.0,3.0,866.15
15.0,5.0,3.0,857.15
16.0,5.0,3.0,859.15
17.0,5.0,3.0,860.15
18.0,5.0,3.0,862.15
19.0,5.0,3.0,863.15
20.0,5.0,3.0,864.15
15.0,6.0,3.0,853.15
16.0,6.0,3.0,855.15
17.0,6.0,3.0,857.15
18.0,6.0,3.0,859.15
19.0,6.0,3.0,860.15
20.0,6.0,3.0,861.15
15.0,7.0,3.0,849.15
16.0,7.0,3.0,851.15
17.0,7.0,3.0,853.15
18.0,7.0,3.0,855.15
19.0,7.0,3.0,857.15
20.0,7.0,3.0,858.15
15.0,8.0,3.0,845.15
16.0,8.0,3.0,847.15
17.0,8.0,3.0,849.15
18.0,8.0,3.0,851.15
19.0,8.0,3.0,853.15
20.0,8.0,3.0,855.15
15.0,9.0,3.0,839.15
16.0,9.0,3.0,842.15
17.0,9.0,3.0,844.15
18.0,9.0,3.0,847.15
19.0,9.0,3.0,849.15
20.0,9.0,3.0,851.15
15.0,10.0,3.0,833.15
16.0,10.0,3.0,836.15
17.0,10.0,3.0,839.15
18.0,10.0,3.0,842.15
19.0,10.0,3.0,844.15
20.0,10.0,3.0,847.15
15.0,11.0,3.0,826.15
16.0,11.0,3.0,829.15
17.0,11.0,3.0,833.15
18.0,11.0,3.0,836.15
19.0,11.0,3.0,839.15
20.0,11.0,3.0,841.15
15.0,12.0,3.0,817.15
16.0,12.0,3.0,821.15
17.0,12.0,3.0,825.15
18.0,12.0,3.0,829.15
19.0,12.0,3.0,832.15
20.0,12.0,3.0,835.15
15.0,13.0,3.0,807.15
16.0,13.0,3.0,812.15
17.0,13.0,3.0,817.15
18.0,13.0,3.0,821.15
19.0,13.0,3.0,825.15
20.0,13.0,3.0,828.15
15.0,14.0,3.0,795.15
16.0,14.0,3.0,801.15
17.0,14.0,3.0,806.15
18.0,14.0,3.0,811.15
19.0,14.0,3.0,816.15
20.0,14.0,3.0,820.15
15.0,15.0,3.0,780.15
16.0,15.0,3.0,787.15
17.0,15.0,3.0,794.15
18.0,15.0,3.0,800.15
19.0,15.0,3.0,805.15
20.0,15.0,3.0,811.15
19.0,1.0,4.0,822.15
20.0,1.0,4.0,819.15
15.0,2.0,4.0,1097.55
16.0,2.0,4.0,1093.55
17.0,2.0,4.0,838.15
18.0,2.0,4.0,1065.15
19.0,2.0,4.0,1049.95
20.0,2.0,4.0,1034.72
15.0,3.0,4.0,834.15
16.0,3.0,4.0,836.15
17.0,3.0,4.0,838.15
18.0,3.0,4.0,840.15
19.0,3.0,4.0,1185.15
20.0,3.0,4.0,1170.55
15.0,4.0,4.0,829.15
16.0,4.0,4.0,831.15
17.0,4.0,4.0,834.15
18.0,4.0,4.0,836.15
19.0,4.0,4.0,838.15
20.0,4.0,4.0,840.15
15.0,5.0,4.0,823.15
16.0,5.0,4.0,825.15
17.0,5.0,4.0,828.15
18.0,5.0,4.0,831.15
19.0,5.0,4.0,833.15
20.0,5.0,4.0,836.15
15.0,6.0,4.0,816.15
16.0,6.0,4.0,819.15
17.0,6.0,4.0,822.15
18.0,6.0,4.0,825.15
19.0,6.0,4.0,828.15
20.0,6.0,4.0,831.15
15.0,7.0,4.0,808.15
16.0,7.0,4.0,812.15
17.0,7.0,4.0,815.15
18.0,7.0,4.0,819.15
19.0,7.0,4.0,822.15
20.0,7.0,4.0,825.15
15.0,8.0,4.0,799.15
16.0,8.0,4.0,803.15
17.0,8.0,4.0,807.15
18.0,8.0,4.0,811.15
19.0,8.0,4.0,815.15
20.0,8.0,4.0,818.15
15.0,9.0,4.0,789.15
16.0,9.0,4.0,794.15
17.0,9.0,4.0,798.15
18.0,9.0,4.0,803.15
19.0,9.0,4.0,807.15
20.0,9.0,4.0,811.15
15.0,10.0,4.0,777.15
16.0,10.0,4.0,783.15
17.0,10.0,4.0,788.15
18.0,10.0,4.0,793.15
19.0,10.0,4.0,798.15
20.0,10.0,4.0,802.15
15.0,11.0,4.0,763.15
