Ni,Ti,Al,Ni3Ti,Laves,FCC,T_Ni3Ti
16.0,11.0,1.0,18.20155106802792,23.772558786794892,0.0,890.15
17.0,11.0,1.0,19.561001555448733,22.799844272347922,0.0,890.15
18.0,11.0,1.0,20.920112246240187,21.828093713918243,0.0,890.15
19.0,11.0,1.0,22.279722731489258,20.85722424711666,0.0,890.15
20.0,11.0,1.0,23.639824855034504,19.883589559199034,0.0,900.15
15.0,12.0,1.0,16.517103688650014,28.32137012759735,0.0,888.15
16.0,12.0,1.0,17.87680027254794,27.350039105500596,0.0,889.15
17.0,12.0,1.0,19.235909472042298,26.377746613989284,0.0,889.15
18.0,12.0,1.0,20.595560288905116,25.404545845479316,0.0,889.15
19.0,12.0,1.0,21.955751953410786,24.43226712709608,0.0,890.15
20.0,12.0,1.0,23.316441070867064,23.46086625861981,0.0,902.15
15.0,13.0,1.0,16.19173480906363,31.898901461964158,0.0,888.15
16.0,13.0,1.0,17.551410545009567,30.926132829914522,0.0,888.15
17.0,13.0,1.0,18.911450110116608,29.9542846454722,0.0,888.15
18.0,13.0,1.0,20.271669700085596,28.981522721315862,0.0,889.15
19.0,13.0,1.0,21.6306034474862,28.009680368308338,0.0,889.15
20.0,13.0,1.0,22.99004222623447,27.036875624878686,0.0,905.15
15.0,14.0,1.0,15.865402292933675,35.47686107822302,0.0,886.15
16.0,14.0,1.0,17.22508172712054,34.50455632142509,0.0,887.15
17.0,14.0,1.0,18.584028535428672,33.53133276762066,0.0,887.15
18.0,14.0,1.0,19.944813962838463,32.55902758016754,0.0,888.15
19.0,14.0,1.0,21.30427681980912,31.587581496657556,0.0,888.15
20.0,14.0,1.0,22.664328763907278,30.615276825049797,0.0,907.15
15.0,15.0,1.0,15.538106847962997,39.05519176800748,0.0,885.15
16.0,15.0,1.0,16.897597679401002,38.08337075839118,0.0,886.15
17.0,15.0,1.0,18.25727973154955,37.11062542773252,0.0,886.15
18.0,15.0,1.0,19.616748893477816,36.138729471645995,0.0,887.15
19.0,15.0,1.0,20.97681026766432,35.16597834497691,0.0,888.15
20.0,15.0,1.0,22.33555133429108,34.19407937038657,0.0,910.15
15.0,1.0,2.0,4.677265922984719,0.0,17.705402273971554,884.7887
16.0,1.0,2.0,4.677401467869227,0.0,19.316460897120074,885.2333
17.0,1.0,2.0,4.677346668798791,0.0,20.929945194725903,883.15
18.0,1.0,2.0,4.67729192208146,0.0,22.54733687508514,881.15
19.0,1.0,2.0,4.677237227642247,0.0,24.166814925622415,879.15
20.0,1.0,2.0,4.677364040348321,0.0,25.78837635932433,876.15
15.0,2.0,2.0,9.354549562023582,0.0,11.792751891096179,883.15
16.0,2.0,2.0,9.354656022318169,0.0,13.389808594752973,884.15
17.0,2.0,2.0,9.35456334146932,0.0,14.990417010216397,884.15
18.0,2.0,2.0,9.35465267531787,0.0,16.59477543921568,885.15
19.0,2.0,2.0,9.35456008437361,0.0,18.202151163319304,885.15
20.0,2.0,2.0,9.354632332360351,0.0,19.81286736774761,885.15
15.0,3.0,2.0,14.031956670900305,0.0,5.9473495963444725,882.15
16.0,3.0,2.0,14.03205095467048,0.0,7.525189146596821,883.15
17.0,3.0,2.0,14.03193725581709,0.0,9.108079480340484,883.15
18.0,3.0,2.0,14.032005889491849,0.0,10.695842004176583,884.15
19.0,3.0,2.0,14.031892320161738,0.0,12.287923356434472,884.15
20.0,3.0,2.0,14.031935364657008,0.0,13.88429210427146,884.15
15.0,4.0,2.0,18.709627891163922,0.0,0.20045768765376584,881.15
16.0,4.0,2.0,18.709875438013146,0.0,1.7510477603323602,882.15
17.0,4.0,2.0,18.710122749800043,0.0,3.308693286195852,882.15
18.0,4.0,2.0,18.70854460299556,0.0,4.872982671324638,883.15
19.0,4.0,2.0,18.708758179950706,0.0,6.443256181370055,883.15
20.0,4.0,2.0,18.7089715536105,0.0,8.019511305616337,884.15
15.0,5.0,2.0,18.778560548362528,3.2943494053547364,0.0,880.15
16.0,5.0,2.0,20.13845300814139,2.321640648017172,0.0,880.15
17.0,5.0,2.0,21.498886096509036,1.349048700811741,0.0,881.15
18.0,5.0,2.0,22.859859045494847,0.3763722954011536,0.0,882.15
19.0,5.0,2.0,23.386234684647643,0.0,0.704218403091851,882.15
20.0,5.0,2.0,23.386087798284947,0.0,2.250573054127359,883.15
15.0,6.0,2.0,18.45335132885035,6.871549050925968,0.0,878.15
16.0,6.0,2.0,19.81381248178541,5.898870740992598,0.0,879.15
17.0,6.0,2.0,21.17298754023637,4.92619591563049,0.0,880.15
18.0,6.0,2.0,22.534540693469086,3.953524569900841,0.0,880.15
19.0,6.0,2.0,23.894764200500042,2.980851242967014,0.0,881.15
20.0,6.0,2.0,25.25552813416439,2.0080020050748884,0.0,881.15
15.0,7.0,2.0,18.126832171274494,10.44934574495441,0.0,877.15
16.0,7.0,2.0,19.488041887815708,9.476714406096647,0.0,878.15
17.0,7.0,2.0,20.847745944130757,8.503883835427404,0.0,878.15
18.0,7.0,2.0,22.208038033191002,7.531254126865343,0.0,879.15
19.0,7.0,2.0,23.568838387727194,6.558428939658933,0.0,880.15
20.0,7.0,2.0,24.928352060748654,5.585607376622615,0.0,880.15
15.0,8.0,2.0,17.79970343332953,14.027677102918936,0.0,875.15
16.0,8.0,2.0,19.15922995305354,13.054903266024409,0.0,876.15
17.0,8.0,2.0,20.521369610728087,12.082151646764093,0.0,877.15
18.0,8.0,2.0,21.880350673495933,11.109376033391877,0.0,877.15
19.0,8.0,2.0,23.241721617169897,10.136600432258929,0.0,878.15
20.0,8.0,2.0,24.601763089646667,9.163808024021776,0.0,879.15
15.0,9.0,2.0,17.471599023356525,17.606854931588888,0.0,873.15
16.0,9.0,2.0,18.831122186797217,16.633973746203477,0.0,874.15
17.0,9.0,2.0,20.19194126516283,15.66127318952773,0.0,875.15
18.0,9.0,2.0,21.55331837929645,14.68838498241766,0.0,876.15
19.0,9.0,2.0,22.913413487977724,13.715677240531985,0.0,877.15
20.0,9.0,2.0,24.274022163557348,12.742758605475442,0.0,877.15
15.0,10.0,2.0,17.14215050230805,21.18682389594665,0.0,870.15
16.0,10.0,2.0,18.50184667948212,20.213853232334788,0.0,871.15
17.0,10.0,2.0,19.863214514234507,19.24179757297039,0.0,872.15
18.0,10.0,2.0,21.223302688715066,18.268443907078243,0.0,874.15
19.0,10.0,2.0,22.58391363619616,17.295604436092997,0.0,875.15
20.0,10.0,2.0,23.945127284445057,16.322791511301386,0.0,876.15
15.0,11.0,2.0,16.811356821450623,24.768637484609727,0.0,867.15
16.0,11.0,2.0,18.171957574189733,23.79430134151299,0.0,868.15
