Ni,Ti,Al,Ni3Ti,Laves,FCC
15.0,4.0,4.0,10.022,0.0,0.060027
16.0,4.0,4.0,9.9943,0.0,0.73876
17.0,4.0,4.0,9.9752,0.0,1.4084
18.0,4.0,4.0,9.9637,0.0,2.0709
19.0,4.0,4.0,9.9589,0.0,2.7279
20.0,4.0,4.0,9.9596,0.0,3.3813
15.0,5.0,4.0,10.04,1.7676,0.0
16.0,5.0,4.0,10.774,1.2469,0.0
17.0,5.0,4.0,11.508,0.7257,0.0
18.0,5.0,4.0,12.244,0.204,0.0
19.0,5.0,4.0,12.516,0.0,0.29206
20.0,5.0,4.0,12.483,0.0,0.97743
15.0,6.0,4.0,9.8442,3.6799,0.0
16.0,6.0,4.0,10.577,3.1608,0.0
17.0,6.0,4.0,11.31,2.6413,0.0
18.0,6.0,4.0,12.045,2.1213,0.0
19.0,6.0,4.0,12.78,1.6008,0.0
20.0,6.0,4.0,13.515,1.0797,0.0
15.0,7.0,4.0,9.6479,5.587,0.0
16.0,7.0,4.0,10.379,5.0697,0.0
17.0,7.0,4.0,11.112,4.5518,0.0
18.0,7.0,4.0,11.845,4.0335,0.0
19.0,7.0,4.0,12.578,3.5146,0.0
20.0,7.0,4.0,13.313,2.9952,0.0
15.0,8.0,4.0,9.4506,7.4893,0.0
16.0,8.0,4.0,10.181,6.9736,0.0
17.0,8.0,4.0,10.912,6.4575,0.0
18.0,8.0,4.0,11.644,5.9408,0.0
19.0,8.0,4.0,12.376,5.4236,0.0
20.0,8.0,4.0,13.109,4.9059,0.0
15.0,9.0,4.0,9.2519,9.3871,0.0
16.0,9.0,4.0,9.9811,8.8731,0.0
17.0,9.0,4.0,10.711,8.3585,0.0
18.0,9.0,4.0,11.441,7.8435,0.0
19.0,9.0,4.0,12.173,7.328,0.0
20.0,9.0,4.0,12.905,6.812,0.0
15.0,10.0,4.0,9.0515,11.281,0.0
16.0,10.0,4.0,9.7794,10.768,0.0
17.0,10.0,4.0,10.508,10.255,0.0
18.0,10.0,4.0,11.237,9.7421,0.0
19.0,10.0,4.0,11.967,9.2283,0.0
20.0,10.0,4.0,12.698,8.714,0.0
15.0,11.0,4.0,8.8486,13.17,0.0
16.0,11.0,4.0,9.5751,12.66,0.0
17.0,11.0,4.0,10.302,12.149,0.0
18.0,11.0,4.0,11.03,11.637,0.0
19.0,11.0,4.0,11.759,11.125,0.0
20.0,11.0,4.0,12.488,10.612,0.0
15.0,12.0,4.0,8.6422,15.057,0.0
16.0,12.0,4.0,9.3674,14.548,0.0
17.0,12.0,4.0,10.093,14.039,0.0
18.0,12.0,4.0,10.82,13.529,0.0
19.0,12.0,4.0,11.547,13.019,0.0
20.0,12.0,4.0,12.275,12.508,0.0
15.0,13.0,4.0,8.4311,16.942,0.0
16.0,13.0,4.0,9.1547,16.435,0.0
17.0,13.0,4.0,9.8791,15.928,0.0
18.0,13.0,4.0,10.604,15.42,0.0
19.0,13.0,4.0,11.33,14.912,0.0
20.0,13.0,4.0,12.056,14.403,0.0
15.0,14.0,4.0,8.2128,18.827,0.0
16.0,14.0,4.0,8.9346,18.322,0.0
17.0,14.0,4.0,9.6571,17.817,0.0
18.0,14.0,4.0,10.38,17.311,0.0
19.0,14.0,4.0,11.104,16.805,0.0
20.0,14.0,4.0,11.828,16.298,0.0
15.0,15.0,4.0,7.9834,20.714,0.0
16.0,15.0,4.0,8.7029,20.212,0.0
17.0,15.0,4.0,9.423,19.709,0.0
18.0,15.0,4.0,10.144,19.206,0.0
19.0,15.0,4.0,10.865,18.702,0.0
20.0,15.0,4.0,11.586,18.198,0.0
15.0,1.0,5.0,2.3645,0.0,7.2599
16.0,1.0,5.0,2.3773,0.0,7.9064
17.0,1.0,5.0,2.3912,0.0,8.5573
18.0,1.0,5.0,2.4088,0.0,2.1079
19.0,1.0,5.0,2.427,0.0,4.6333
20.0,1.0,5.0,2.4452,0.0,7.161
15.0,2.0,5.0,4.7849,0.0,4.9445
16.0,2.0,5.0,4.7891,0.0,5.5855
17.0,2.0,5.0,4.7974,0.0,6.2245
18.0,2.0,5.0,4.809,0.0,6.8629
