Ni,Ti,Al,Laves
17.0,5.0,3.0,1.3511070860902672
18.0,5.0,3.0,0.37767358686455554
19.0,5.0,3.0,0.0
20.0,5.0,3.0,0.0
15.0,6.0,3.0,6.878482368353274
16.0,6.0,3.0,5.905144313400107
17.0,6.0,3.0,4.931607270788557
18.0,6.0,3.0,3.958056553709741
19.0,6.0,3.0,2.9844921813591765
20.0,6.0,3.0,2.011095315824597
15.0,7.0,3.0,10.460137671973973
16.0,7.0,3.0,9.486726189040736
17.0,7.0,3.0,8.513111857316886
18.0,7.0,3.0,7.539665624484547
19.0,7.0,3.0,6.5660046014827
20.0,7.0,3.0,5.592330010979875
15.0,8.0,3.0,14.043048370396672
16.0,8.0,3.0,13.069579564626052
17.0,8.0,3.0,12.095904021691691
18.0,8.0,3.0,11.122372644127513
19.0,8.0,3.0,10.148638393644042
20.0,8.0,3.0,9.175072466993441
15.0,9.0,3.0,17.627520052430494
16.0,9.0,3.0,16.654011783929043
17.0,9.0,3.0,15.680263693909705
18.0,9.0,3.0,14.706680747577366
19.0,9.0,3.0,13.73289103225267
20.0,9.0,3.0,12.759266345435835
15.0,10.0,3.0,21.2146189909629
16.0,10.0,3.0,20.241050991269077
17.0,10.0,3.0,19.266562704361387
18.0,10.0,3.0,18.292757871292014
19.0,10.0,3.0,17.31908255992733
20.0,10.0,3.0,16.34523074175231
15.0,11.0,3.0,24.80299003136096
16.0,11.0,3.0,23.828149066421222
17.0,11.0,3.0,22.856033858579224
18.0,11.0,3.0,21.881050350104267
19.0,11.0,3.0,20.907014681892335
20.0,11.0,3.0,19.933845795481016
15.0,12.0,3.0,28.393380303296755
16.0,12.0,3.0,27.42092921495809
17.0,12.0,3.0,26.447510569658817
18.0,12.0,3.0,25.473125712257367
19.0,12.0,3.0,24.49959758664025
20.0,12.0,3.0,23.525107882516313
15.0,13.0,3.0,31.989446780443558
16.0,13.0,3.0,31.015708257557733
17.0,13.0,3.0,30.040941945556764
18.0,13.0,3.0,29.0690059092321
19.0,13.0,3.0,28.094174681015815
20.0,13.0,3.0,27.12024736686645
15.0,14.0,3.0,35.589279112060346
16.0,14.0,3.0,34.61614219387516
17.0,14.0,3.0,33.64196489175395
18.0,14.0,3.0,32.668689522817104
19.0,14.0,3.0,31.694441530414974
20.0,14.0,3.0,30.721094702310403
15.0,15.0,3.0,39.194787813167316
16.0,15.0,3.0,38.222197170396264
17.0,15.0,3.0,37.24862716817284
18.0,15.0,3.0,36.27407916324087
19.0,15.0,3.0,35.30230708035004
20.0,15.0,3.0,34.327680818583154
15.0,1.0,4.0,0.0
16.0,1.0,4.0,0.0
17.0,1.0,4.0,0.0
18.0,1.0,4.0,0.0
19.0,1.0,4.0,0.0
20.0,1.0,4.0,0.0
15.0,2.0,4.0,0.0
16.0,2.0,4.0,0.0
17.0,2.0,4.0,0.0
18.0,2.0,4.0,0.0
19.0,2.0,4.0,0.0
20.0,2.0,4.0,0.0
15.0,3.0,4.0,0.0
16.0,3.0,4.0,0.0
17.0,3.0,4.0,0.0
18.0,3.0,4.0,0.0
19.0,3.0,4.0,0.0
20.0,3.0,4.0,0.0
15.0,4.0,4.0,0.0
16.0,4.0,4.0,0.0
17.0,4.0,4.0,0.0
18.0,4.0,4.0,0.0
19.0,4.0,4.0,0.0
20.0,4.0,4.0,0.0
15.0,5.0,4.0,3.3038511285728176
16.0,5.0,4.0,2.3295177492849284
17.0,5.0,4.0,1.355159297042627
18.0,5.0,4.0,0.38076892925537276
19.0,5.0,4.0,0.0
20.0,5.0,4.0,0.0
15.0,6.0,4.0,6.889121444658071
16.0,6.0,4.0,5.9145821170341755
17.0,6.0,4.0,4.9401858391189855
18.0,6.0,4.0,3.9657583416837414
19.0,6.0,4.0,2.9912940785158635
20.0,6.0,4.0,2.0166193189777384
15.0,7.0,4.0,10.47604404176167
16.0,7.0,4.0,9.501667107105307
17.0,7.0,4.0,8.527067886085957
18.0,7.0,4.0,7.552621181792819
19.0,7.0,4.0,6.577940149840633
20.0,7.0,4.0,5.6032386240337635
15.0,8.0,4.0,14.065311212359099
16.0,8.0,4.0,13.090750724594152
17.0,8.0,4.0,12.116339373834336
18.0,8.0,4.0,11.14168096698268
19.0,8.0,4.0,10.167006904101783
20.0,8.0,4.0,9.19227728040952
15.0,9.0,4.0,17.65743769550979
16.0,9.0,4.0,16.682898764355066
17.0,9.0,4.0,15.708129664187867
18.0,9.0,4.0,14.733478723943804
19.0,9.0,4.0,13.758789346701588
20.0,9.0,4.0,12.784061585696566
15.0,10.0,4.0,21.25354665380514
16.0,10.0,4.0,20.27772651433263
17.0,10.0,4.0,19.302766384764087
18.0,10.0,4.0,18.32889320359124
19.0,10.0,4.0,17.354224924355115
20.0,10.0,4.0,16.37951451675357
15.0,11.0,4.0,24.851682441918392
16.0,11.0,4.0,23.87836744393959
17.0,11.0,4.0,22.904015790932277
18.0,11.0,4.0,21.928634421002645
19.0,11.0,4.0,20.954192722067354
20.0,11.0,4.0,19.978726007925975
15.0,12.0,4.0,28.457328182526066
16.0,12.0,4.0,27.482709959932066
17.0,12.0,4.0,26.508986128996924
18.0,12.0,4.0,25.534219893627863
19.0,12.0,4.0,24.560397373231638
20.0,12.0,4.0,23.58553717060293
15.0,13.0,4.0,32.070357161786646
16.0,13.0,4.0,31.096386499608336
17.0,13.0,4.0,30.123307360617297
18.0,13.0,4.0,29.149173067071455
19.0,13.0,4.0,28.175933308896056
20.0,13.0,4.0,27.201698241134377
15.0,14.0,4.0,35.69471698470931
16.0,14.0,4.0,34.721340491617184
17.0,14.0,4.0,33.748920307314634
18.0,14.0,4.0,32.77543215252665
19.0,14.0,4.0,31.80283566610902
20.0,14.0,4.0,30.829179710775456
15.0,15.0,4.0,39.33401440892639
16.0,15.0,4.0,38.363278150849
17.0,15.0,4.0,37.39145777168995
18.0,15.0,4.0,36.42052565707134
19.0,15.0,4.0,35.44851795550265
20.0,15.0,4.0,34.47746687810118
15.0,1.0,5.0,0.0
16.0,1.0,5.0,0.0
17.0,1.0,5.0,0.0
18.0,1.0,5.0,0.0
19.0,1.0,5.0,0.0
20.0,1.0,5.0,0.0
15.0,2.0,5.0,0.0
16.0,2.0,5.0,0.0
17.0,2.0,5.0,0.0
18.0,2.0,5.0,0.0
19.0,2.0,5.0,0.0
20.0,2.0,5.0,0.0
15.0,3.0,5.0,0.0
16.0,3.0,5.0,0.0
17.0,3.0,5.0,0.0
18.0,3.0,5.0,0.0
19.0,3.0,5.0,0.0
20.0,3.0,5.0,0.0
15.0,4.0,5.0,0.0
16.0,4.0,5.0,0.0
17.0,4.0,5.0,0.0
18.0,4.0,5.0,0.0
19.0,4.0,5.0,0.0
20.0,4.0,5.0,0.0
15.0,5.0,5.0,3.31523740287206
16.0,5.0,5.0,2.3400046807643236
17.0,5.0,5.0,1.3646448029701628
18.0,5.0,5.0,0.38925847984975
19.0,5.0,5.0,0.0
20.0,5.0,5.0,0.0
15.0,6.0,5.0,6.907220979251102
16.0,6.0,5.0,5.931836527137411
17.0,6.0,5.0,4.956578917533955
18.0,6.0,5.0,3.9810832913108927
19.0,6.0,5.0,3.005538754289986
20.0,6.0,5.0,2.029941543419767
15.0,7.0,5.0,10.502368734597542
16.0,7.0,5.0,9.527019223305015
17.0,7.0,5.0,8.551616853045877
18.0,7.0,5.0,7.57635085927229
19.0,7.0,5.0,6.6008304215637335
20.0,7.0,5.0,5.62527167236785
15.0,8.0,5.0,14.101766301770096
16.0,8.0,5.0,13.126480332087437
17.0,8.0,5.0,12.15113766462208
18.0,8.0,5.0,11.175906664090002
19.0,8.0,5.0,10.200452604368863
20.0,8.0,5.0,9.224924616266986
15.0,9.0,5.0,17.706545966560448
16.0,9.0,5.0,16.731496816738336
17.0,9.0,5.0,15.756420576219188
18.0,9.0,5.0,14.781255633462054
19.0,9.0,5.0,13.806033845068338
20.0,9.0,5.0,12.830755288956466
15.0,10.0,5.0,21.319315848271636
16.0,10.0,5.0,20.34321325371567
17.0,10.0,5.0,19.36990296984897
18.0,10.0,5.0,18.394629760205564
19.0,10.0,5.0,17.419865919198177
20.0,10.0,5.0,16.44519975694972
15.0,11.0,5.0,24.94195776736597
16.0,11.0,5.0,23.966528025728913
17.0,11.0,5.0,22.993890640949466
18.0,11.0,5.0,22.0202347073772
19.0,11.0,5.0,21.045521571612046
20.0,11.0,5.0,20.07173639347754
15.0,12.0,5.0,28.579665100544293
16.0,12.0,5.0,27.606829288771596
17.0,12.0,5.0,26.63482593137966
18.0,12.0,5.0,25.661850779960115
19.0,12.0,5.0,24.689711159345446
20.0,12.0,5.0,23.781314762891622
15.0,13.0,5.0,32.60717843601035
16.0,13.0,5.0,31.72655531792493
17.0,13.0,5.0,30.84870228365982
18.0,13.0,5.0,29.96967706455654
19.0,13.0,5.0,29.08954181251837
20.0,13.0,5.0,28.210205810306544
15.0,14.0,5.0,37.035831242698734
16.0,14.0,5.0,36.15770109837942
17.0,14.0,5.0,35.27838314107335
18.0,14.0,5.0,34.39794981640147
19.0,14.0,5.0,33.520225876811494
20.0,14.0,5.0,32.64132376685041
15.0,15.0,5.0,41.46670809693147
16.0,15.0,5.0,40.58712331813633
17.0,15.0,5.0,39.70833413180538
18.0,15.0,5.0,38.82834961796092
19.0,15.0,5.0,37.9492363628009
20.0,15.0,5.0,37.07084625100471
15.0,1.0,6.0,0.0
16.0,1.0,6.0,0.0
17.0,1.0,6.0,0.0
18.0,1.0,6.0,0.0
19.0,1.0,6.0,0.0
20.0,1.0,6.0,0.0
15.0,2.0,6.0,0.0
16.0,2.0,6.0,0.0
17.0,2.0,6.0,0.0
18.0,2.0,6.0,0.0
19.0,2.0,6.0,0.0
20.0,2.0,6.0,0.0
15.0,3.0,6.0,0.0
16.0,3.0,6.0,0.0
17.0,3.0,6.0,0.0
18.0,3.0,6.0,0.0
19.0,3.0,6.0,0.0
20.0,3.0,6.0,0.0
15.0,4.0,6.0,0.0
16.0,4.0,6.0,0.0
17.0,4.0,6.0,0.0
18.0,4.0,6.0,0.0
19.0,4.0,6.0,0.0
20.0,4.0,6.0,0.0
15.0,5.0,6.0,3.3421965185611886
16.0,5.0,6.0,2.3664216737686012
17.0,5.0,6.0,1.3904684951138078
18.0,5.0,6.0,0.4145277085162758
19.0,5.0,6.0,0.0
20.0,5.0,6.0,0.0
15.0,6.0,6.0,6.946808571608695
16.0,6.0,6.0,5.97112397290748
17.0,6.0,6.0,4.995562341938255
18.0,6.0,6.0,4.019741950500131
19.0,6.0,6.0,3.044044538435281
20.0,6.0,6.0,2.0682753888380603
15.0,7.0,6.0,10.558823191755607
16.0,7.0,6.0,9.583625789152581
17.0,7.0,6.0,8.608356209425203
18.0,7.0,6.0,7.633205629173872
19.0,7.0,6.0,6.657970178558127
20.0,7.0,6.0,5.682666407035991
15.0,8.0,6.0,14.180916444527913
16.0,8.0,6.0,13.206603876588188
17.0,8.0,6.0,12.232191064802581
18.0,8.0,6.0,11.25789666067659
19.0,8.0,6.0,10.283720503167753
20.0,8.0,6.0,9.30966243152551
15.0,9.0,6.0,17.818049906815787
16.0,9.0,6.0,16.845180883535065
17.0,9.0,6.0,15.888947269512657
18.0,9.0,6.0,15.009832898232379
19.0,9.0,6.0,14.130720081233056
20.0,9.0,6.0,13.25166462079967
15.0,10.0,6.0,22.075954817725354
16.0,10.0,6.0,21.197529772998898
17.0,10.0,6.0,20.317934673009738
18.0,10.0,6.0,19.439095888149367
19.0,10.0,6.0,18.560513025190733
20.0,10.0,6.0,17.681537458283785
15.0,11.0,6.0,26.50761073396509
16.0,11.0,6.0,25.627702628585947
17.0,11.0,6.0,24.748637632317497
18.0,11.0,6.0,23.870363640908206
19.0,11.0,6.0,22.990913563543554
20.0,11.0,6.0,22.1103365343056
15.0,12.0,6.0,30.935448788652437
16.0,12.0,6.0,30.058073083809887
17.0,12.0,6.0,29.17757574706731
